date,game,market,model_prob,bet_side,odds,result,note
2026-06-24,MIL@CIN,F5,0.61,MIL,-145,W,Lowder fade; edge +6.5%; F5 MIL 3-0 thru 5 WIN (won 6-5)
2026-06-24,KC@TB,F5,0.46,KC,120,L,Jax fade; edge +6.2%; F5 KC 2-5 thru 5 LOSS (Jax 5IP 0ER)
2026-06-24,BOS@COL,F5,0.64,BOS,-165,W,BOS 6-3 thru 5 F5 WIN (COL rallied to win full 8-6); placed -185
2026-06-25,PHI@WSH,F5,0.75,PHI,-176,L,"WSH 5-0 thru 5 (4 in 1st,1 in 3rd); PHI shut out thru 5 then rallied to win full 10-5; F5 LOST; placed -180; 2-leg parlay loser", juiced); straight only
2026-06-25,KC@TB,F5,0.78,KC,112,L,DIVERGENCE-VETO gap33%; model loves KC(L10 6.8) vs mkt dog; TB opener(Legumina/Seymour); F5 KC 0-7 thru 5 LOSS (Caminero 3HR); veto correct
2026-06-25,SEA@PIT,F5,0.71,PIT,130,W,DIVERGENCE-VETO gap30%; SEA opener(Miller/Castillo 5.22 bulk modeled); F5 PIT 3-1 thru 5 WIN (Lowe HR 1st, Davis 2R 3rd)
2026-06-25,HOU@DET,F5,0.85,DET,-118,P,DIVERGENCE-VETO gap34%; Imai 6.15 vs Melton 2.56; model/mkt too wide; F5 0-0 PUSH (Melton perfect into 6th, Imai 6 scoreless)
2026-06-25,AZ@STL,F5,0.85,STL,-143,PPD,DIVERGENCE-VETO gap30%; Gallen 6.10 fade CONFIRMED tier but vetoed; POSTPONED weather makeup 7/23 VOID/no action
2026-06-25,NYY@BOS,F5,0.79,NYY,-163,L,DIVERGENCE-VETO gap21%; Schlittler 1.71 elite; edge +7.0% vetoed; F5 LOSS tied thru4 Durbin 2R HR bot5 BOS ahead; BOS 6-3
2026-06-25,ATH@SF,F5,0.54,SF,-143,L,no edge (-4.7%); pickem; F5 SF 1-2 thru5 LOSS (A's led 2-1 into 6th); A's 9-6
2026-06-25,TEX@TOR,F5,0.58,TOR,-150,L,no edge (-2.5%); F5 TOR 0-6 thru5 LOSS (Pederson/Langford3R/Burger); TEX 6-5
2026-06-25,CHC@NYM,F5,0.51,NYM,-110,P,no edge (-1.8%); Boyd 6.00 but NYM bats only lean; F5 0-0 PUSH (Boyd 4.2 scoreless, CHC scored first 6th); CHC 4-3/10
2026-06-26,ATH@LAA,F5,0.65,LAA,-105,L,RANKED edge +6.5%; LAA offense lean vs Ginn; F5 LAA 3-7 thru 5 LOSS (ATH won 9-3)
2026-06-26,LAD@SD,F5,0.57,SD,115,W,RANKED edge +5.7%; SD lean Buehler>Sasaki; F5 SD 3-1 thru 5 WIN (SD won 7-1)
2026-06-26,CIN@PIT,F5,0.77,PIT,-230,L,NO BET edge +3.5% (ace tax); graded for calib: F5 PIT 2-4 thru 5 LOSS (CIN won 6-4)
2026-06-29,WSH@BOS,F5,0.67,BOS,-156,W,RANKED #1 edge +8.6% [F5 BOS 6-1 thru5 WIN; BOS 6-3] None-tier straight; Suarez 2.83 vs Mikolas
2026-06-29,NYM@TOR,F5,0.58,TOR,-120,W,RANKED #2 edge +8.1% [F5 TOR 2-0 thru5 WIN; TOR 2-1] None-tier straight; Yesavage vs Manaea
2026-06-29,CIN@MIL,F5,0.60,MIL,-130,L,RANKED #3 edge +7.6% CONFIRMED parlay-eligible; Lodolo fade [F5 MIL 0-3 thru5 LOSS; MIL rallied 5-3]
2026-06-29,DET@NYY,F5,0.51,DET,110,W,RANKED edge +8.0% None-tier straight; DET dog value [F5 DET 7-0 thru5 WIN; DET 7-3]
2026-06-29,CWS@BAL,F5,0.49,CWS,106,P,RANKED edge +6.0% None-tier straight; CWS dog at BAL [F5 CWS 2-2 thru5 PUSH; BAL 8-2]
2026-06-29,TEX@CLE,F5,0.40,TEX,130,L,RANKED edge +5.8% None-tier straight; low-total thin [F5 TEX 1-2 thru5 LOSS; TEX rallied 6-3]
2026-06-29,SF@AZ,F5,0.80,AZ,-135,W,DIVERGENCE-VETO gap35% edge +12.0% NO BET; E.Rodriguez 2.27 model loves mkt doesn't [F5 AZ 4-1 thru5 WIN; veto cost winner]
2026-06-29,LAD@ATH,F5,0.70,ATH,-121,L,DIVERGENCE-VETO gap29% edge +9.9% NO BET; ATH arm 2.04 on 35IP small-sample [F5 ATH 3-5 thru5 LOSS; veto correct]
2026-06-29,PIT@PHI,F5,0.70,PIT,-122,W,DIVERGENCE-VETO gap26% edge +9.3% NO BET; Nola fade too hard [F5 PIT 8-5 thru5 WIN; veto cost winner]
2026-06-30,PIT@PHI,F5,0.76,PHI,-225,W,RANKED #1 edge +7.1% STEEP-PRICE None-tier straight; C.Sanchez 2.13 vs Chandler (OddsTrader F5 line); JONATHAN BET IT: PHI F5 cashed W
2026-06-30,DET@NYY,F5,0.64,NYY,-111,L,RANKED #2 edge +6.2% None-tier straight; Skubal vs Schlittler both elite (OddsTrader F5 line)
2026-06-30,LAA@SEA,F5,0.73,LAA,157,P,DIVERGENCE-VETO gap35% edge +13.0% WATCHLIST/NO BET; model loves LAA dog vs Woo
2026-06-30,LAD@ATH,F5,0.86,LAD,-133,W,DIVERGENCE-VETO gap30% edge +11.0% WATCHLIST/NO BET; CONFIRMED tier vetoed; Springs fade
2026-06-30,MIN@HOU,F5,0.82,MIN,-128,L,DIVERGENCE-VETO gap26% edge +9.4% WATCHLIST; CONFIRMED; Burrows 5.48 fade; JONATHAN BET IT: MIN up 3-0, CASHED OUT for profit before HOU rally — F5 graded L (4-6) for model calibration but REALIZED WIN via live cashout
2026-06-30,CWS@BAL,F5,0.67,CWS,115,W,DIVERGENCE-VETO gap22% edge +9.2% WATCHLIST/NO BET; CAUTION; Gibson 5.64 fade
2026-06-30,STL@ATL,F5,0.80,ATL,-130,L,DIVERGENCE-VETO gap24% edge +8.4% WATCHLIST/NO BET; CONFIRMED; Liberatore 5.56 fade
2026-07-01,NYM@TOR,F5,0.68,TOR,-109,W,RANKED #1 edge +6.7% None-tier straight; back TOR (Fisher) vs NYM Peralta [validated statsapi+OddsTrader]
2026-07-01,PIT@PHI,F5,0.65,PHI,-127,W,RANKED #2 edge +5.7% None-tier straight; PHI Wheeler 2.03 vs PIT Skenes [validated]
2026-07-01,CIN@MIL,F5,0.71,MIL,-150,P,RANKED #4 edge +5.6% None-tier straight; back MIL (Drohan) vs CIN Abbott [validated]
2026-07-01,STL@ATL,F5,0.58,STL,105,L,RANKED #3 edge +5.7% None-tier straight; STL McGreevy vs ATL R.Lopez; dog value [validated]
2026-07-01,MIA@COL,F5,0.92,MIA,-160,L,DIVERGENCE-VETO gap33% edge +11.3% WATCHLIST/NO BET; COL Freeland 7.50 ERA at Coors vs MIA Meyer [validated]
2026-07-01,DET@NYY,F5,0.74,DET,110,W,DIVERGENCE-VETO gap28% edge +9.5% WATCHLIST/NO BET; DET Melton 2.39/0.85 vs NYY Warren [validated]
2026-07-01,MIN@HOU,F5,0.69,MIN,105,W,DIVERGENCE-VETO gap22% edge +8.3% WATCHLIST/NO BET; back MIN (Bradley) vs HOU Imai 5.36 [validated]
2026-07-02,MIA@COL,F5,0.57,MIA,-125,L,RANKED #1 edge +5.3% CONFIRMED Lorenzen fade; JONATHAN BET IT at -135 (edge gone at counter -> spawned v3.1.3 price recheck); F5 MIA 4-5 thru5 (COL 1st:1 3rd:2 4th:2); COL won 14-4 (7-run 6th)
2026-07-02,CWS@CLE,F5,0.65,CWS,-108,W,DIVERGENCE-VETO gap27% edge +9.1% WATCHLIST/NO BET; F5 CWS 3-2 thru5 (3 in 5th); CLE walked off 6-5 (Rocchio 2R HR B9) - veto cost a winner
2026-07-03,MIN@NYY,F5,0.47,MIN,149,L,RANKED #1 edge +7.1% None-tier straight; thin-data flag (Cole post-TJ est IP); F5 MIN 2-3 thru5 LOSS (NYY won 5-2)
2026-07-03,SD@LAD,F5,0.76,LAD,-225,L,RANKED #2 edge +6.4% STEEP-PRICE None-tier straight; Ohtani vs King; F5 LAD 0-2 thru5 LOSS (LAD rallied to win full 4-3)
2026-07-03,SF@COL,F5,0.48,COL,135,W,RANKED #3 edge +5.4% None-tier straight; Coors dog vs Webb; F5 COL 14-2 thru5 WIN (COL won 15-3)
2026-07-03,MIA@ATH,F5,0.60,MIA,115,W,DIVERGENCE-VETO gap38% edge +13.3% WATCHLIST/NO BET; Perkins fade; F5 MIA 7-5 thru5 WIN (MIA won 12-5) - veto cost a winner
2026-07-03,TOR@SEA,F5,0.65,TOR,-130,W,DIVERGENCE-VETO gap22% edge +8.1% WATCHLIST/NO BET; CONFIRMED tier; Cease vs Castillo; F5 TOR 2-0 thru5 WIN (TOR won 2-0) - veto cost a winner
2026-07-03,PIT@WSH,F5,0.66,WSH,-140,W,DIVERGENCE-VETO gap21% edge +8.0% WATCHLIST/NO BET; F5 WSH 5-1 thru5 WIN (WSH won 9-5)
2026-07-03,TB@HOU,F5,0.60,TB,-110,P,DIVERGENCE-VETO gap21% edge +7.8% WATCHLIST/NO BET; F5 0-0 thru5 PUSH (HOU won 3-1)
2026-07-04,NYM@ATL,F5,0.72,ATL,-195,W,model liked ATL +8.5% None-tier half-stake(gap23%); placed -195; ATL 6-1 thru5 WIN
2026-07-04,MIA@ATH,F5,0.61,MIA,-125,W,model liked MIA +6.8% None-tier full; placed -125; MIA F5 WIN
2026-07-04,MIL@AZ,F5,0.70,MIL,-165,L,model LOVED MIL +9.1% CONFIRMED half-stake(gap27%); placed -165; ARI 3 in 1st off MIL SP + MIL 2 in 5th = ARI 3-2 thru5 LOSS; killed 4-leg parlay
2026-07-04,SD@LAD,F5,0.80,LAD,-250,W,model liked LAD +8.9% CONFIRMED STEEP half-stake(gap29%); placed -250; LAD F5 WIN
2026-07-04,DET@TEX,F5,0.58,TEX,-102,L,RANKED +7.8% None-tier full straight; F5 TEX 0-3 thru5 LOSS (DET won 3-0; Flaherty outpitched Rocker)
2026-07-04,SF@COL,F5,0.54,COL,110,L,RANKED +6.0% None-tier full straight; F5 COL 3-6 thru5 LOSS (SF won 6-4); Coors side now 1-6
2026-07-04,BOS@LAA,F5,0.68,BOS,-175,W,NO BET - PASSED on v3.1.3 price recheck (book -175 vs playable -171); F5 BOS 7-1 thru5 would have WON; pass cost a winner but process correct; graded for calib only
2026-07-05,NYM@ATL,F5,0.59,ATL,102,L,RANKED #1 edge +9.1% HALF(gap24); F5 NYM 5-3 thru5 LOSS (NYM won 10-9)
2026-07-05,SF@COL,F5,0.61,COL,105,L,RANKED #2 edge +9.1% HALF(gap22) CAUTION Mahle fade; F5 SF 5-4 thru5 LOSS (COL won 7-6); Coors side now 1-7
2026-07-05,MIN@NYY,F5,0.54,MIN,106,W,RANKED #3 edge +7.9% full; F5 MIN 4-0 thru5 WIN (MIN won 6-1)
2026-07-05,STL@CHC,F5,0.64,CHC,-142,W,RANKED #4 edge +7.9% full; F5 CHC 2-0 thru5 WIN (CHC won 6-4)
2026-07-05,BAL@CIN,F5,0.52,BAL,-104,L,RANKED #5 edge +6.2% full thin buffer; F5 BAL 0-2 thru5 LOSS (CIN won 3-2)
2026-07-05,MIA@ATH,F5,0.51,ATH,-114,L,RANKED #6 edge +5.7% full thin buffer; F5 MIA 6-0 thru5 LOSS (ATH rallied lost 9-8)
2026-07-05,DET@TEX,F5,0.53,DET,-125,W,RANKED #7 edge +5.6% full thinnest buffer; F5 DET 6-2 thru5 WIN (DET won 6-3)
2026-07-05,MIL@AZ,F5,0.72,AZ,-102,W,HARD-VETO gap35 edge +12.2% NO BET; F5 AZ 1-0 thru5 WIN (AZ won 4-3) - veto cost a winner
2026-07-05,BOS@LAA,F5,0.79,BOS,-150,W,HARD-VETO gap30 edge +10.2% CONFIRMED NO BET; F5 BOS 5-3 thru5 WIN (BOS won 7-5) - veto cost a winner
2026-07-06,NYM@ATL,F5,0.69,ATL,-125,W,RANKED #1 edge +7.9% HALF(gap29); F5 ATL 3-1 thru5 WIN (ATL won 6-7... ATL won 6-7? final NYM7-ATL6 full-game L but F5 W)
2026-07-06,PHI@KC,F5,0.78,PHI,-210,L,RANKED #2 edge +6.3% STEEP HALF(gap26); F5 PHI 1-10 thru5 LOSS (KC won 15-1; Cameron dominated Sanchez)
2026-07-06,MIL@STL,F5,0.55,MIL,-115,L,RANKED #3 edge +5.7% full; F5 MIL 0-2 thru5 LOSS (STL won 4-3)
2026-07-06,HOU@WSH,F5,0.57,WSH,-125,W,NO BET - dropped at Hard Rock counter (+4.9% below bar); F5 WSH 12-6 thru5 would have WON; graded for calib only
2026-07-06,COL@LAD,F5,0.68,LAD,-200,W,NO BET - v3.1.3 price recheck PASS (HR -200 vs playable -199); F5 LAD 6-2 thru5 would have WON; graded for calib only
2026-07-07,COL@LAD,F5,0.75,LAD,-265,W,RANKED #1 edge +7.5% CONFIRMED STEEP HALF(gap24); F5 LAD 2-0 thru5 WIN (COL won full 4-3 - pen blew it)
2026-07-07,CLE@MIN,F5,0.55,MIN,-118,W,RANKED #2 edge +6.1% None-tier full straight; F5 MIN 2-1 thru5 WIN (MIN won 3-1)
2026-07-07,HOU@WSH,F5,0.83,WSH,-135,L,HARD-VETO gap36 edge +12.0% CONFIRMED NO BET watchlist; F5 WSH 2-4 thru5 LOSS (HOU won 6-3) - veto correct
2026-07-07,BOS@CWS,F5,0.54,BOS,-135,W,NO BET edge +3.3% below bar CONFIRMED; F5 BOS 4-0 thru5 WIN (BOS won 8-1); graded for calib only
2026-07-08,SEA@MIA,F5,0.56,MIA,113,W,cohort=ranked RANKED #1 edge +8.8% HALF(gap27); F5 MIA 2-0 thru5 WIN (MIA won 2-0)
2026-07-08,NYY@TB,F5,0.63,TB,-125,W,cohort=ranked RANKED #2 edge +7.0% full; F5 TB 2-0 thru5 WIN (TB won 3-0)
2026-07-08,HOU@WSH,F5,0.66,WSH,-146,W,cohort=ranked RANKED #3 edge +6.5% full; F5 WSH 8-1 thru5 WIN (WSH won 8-2)
2026-07-08,KC@NYM,F5,0.67,NYM,-160,W,cohort=ranked RANKED #4 edge +5.6% full; F5 NYM 1-0 thru5 WIN (NYM won 6-2)
2026-07-08,ATH@DET,F5,0.71,DET,-140,W,cohort=shadow HARD-VETO gap37 edge +12.5% CONFIRMED NO BET watchlist; F5 DET 6-1 thru5 WIN (DET won 6-1) - veto cost a winner
2026-07-09,KC@NYM,F5,0.54,KC,114,L,cohort=ranked RANKED #1 edge +7.6% full straight dog; F5 KC 2-6 thru5 LOSS
2026-07-09,ATH@DET,F5,0.66,DET,-125,W,cohort=shadow HARD-VETO gap33 edge +10.6% CONFIRMED NO BET watchlist; F5 DET 3-1 thru5 WIN (DET won 4-1) - veto cost a winner
2026-07-10,MIL@PIT,F5,0.67,PIT,-135,PPD,cohort=ranked RANKED #1 edge +9.2% HALF(gap30); POSTPONED - no action/void
2026-07-10,LAA@MIN,F5,0.67,MIN,-138,L,cohort=ranked RANKED #2 edge +9.1% HALF(gap30) CONFIRMED fade; F5 MIN 1-4 thru5 LOSS (LAA won 4-3)
2026-07-10,SEA@TB,F5,0.64,TB,-125,W,cohort=ranked RANKED #3 edge +8.9% HALF(gap28); F5 TB 4-1 thru5 WIN (TB won 7-2)
2026-07-10,ATH@CWS,F5,0.70,CWS,-165,W,cohort=ranked RANKED #4 edge +8.2% HALF(gap28) CONFIRMED fade; F5 CWS 4-0 thru5 WIN (CWS won 14-1)
2026-07-10,COL@SF,F5,0.70,SF,-165,P,cohort=ranked RANKED #5 edge +7.8% HALF(gap21) CONFIRMED fade; F5 1-1 thru5 PUSH (SF won 4-3... COL 4-3)
2026-07-10,BOS@NYM,F5,0.52,BOS,125,W,cohort=ranked RANKED #6 edge +7.3% full dog; F5 BOS 2-1 thru5 WIN (BOS won 6-2)
2026-07-10,PHI@DET,F5,0.64,DET,-130,P,cohort=ranked RANKED #7 edge +7.3% CONFIRMED parlay-eligible; F5 2-2 thru5 PUSH (PHI won 10-2)
2026-07-10,ATL@STL,F5,0.69,ATL,-164,W,cohort=ranked RANKED #8 edge +6.9% full; F5 ATL 1-0 thru5 WIN (STL walked off 2-1 full)
2026-07-10,KC@BAL,F5,0.64,BAL,-145,W,cohort=ranked RANKED #9 edge +5.2% full; F5 BAL 3-2 thru5 WIN (BAL won 5-3)
2026-07-11,ATL@STL,F5,0.61,ATL,-110,L,cohort=ranked RANKED #1 edge +8.6% HALF(gap27); F5 ATL 0-4 thru5 LOSS (STL won 4-1)
2026-07-11,NYY@WSH,F5,0.46,WSH,165,W,cohort=ranked RANKED #2 edge +8.1% full dog; F5 WSH 2-0 thru5 WIN (NYY won full 4-2 - F5 cashed)
2026-07-11,CHC@CIN,F5,0.59,CHC,-102,L,cohort=ranked RANKED #3 edge +8.1% HALF(gap22); F5 CHC 1-2 thru5 LOSS (CHC won full 5-3 - F5 lost)
2026-07-11,PHI@DET,F5,0.53,DET,120,L,cohort=ranked RANKED #4 edge +7.9% full dog; F5 DET 1-4 thru5 LOSS (PHI won 4-2)
2026-07-11,TOR@SD,F5,0.60,TOR,-115,L,cohort=ranked RANKED #5 edge +7.0% full; F5 TOR 4-7 thru5 LOSS (SD won 8-7)
2026-07-11,AZ@LAD,F5,0.79,LAD,-265,L,cohort=ranked RANKED #6 edge +6.3% STEEP full; F5 LAD 0-1 thru5 LOSS (AZ won 9-2)
2026-07-11,CLE@MIA,F5,0.66,MIA,-156,L,cohort=ranked RANKED #7 edge +5.5% full; F5 MIA 0-2 thru5 LOSS (CLE won 4-1)
2026-07-11,ATH@CWS,F5,0.61,CWS,100,P,cohort=shadow HARD-VETO gap33 edge +10.8% NO BET watchlist; F5 0-0 thru5 PUSH (CWS lost 1-0)
2026-07-11,LAA@MIN,F5,0.75,MIN,-185,W,cohort=shadow HARD-VETO gap31 edge +10.2% CONFIRMED NO BET watchlist; F5 MIN 3-2 thru5 WIN (MIN won 5-3) - veto cost a winner
2026-07-12,ATH@CWS,F5,0.58,ATH,102,L,cohort=ranked RANKED #1 edge +8.3% HALF(gap25) CAUTION Schultz fade; ATH bats cold flag was right; F5 ATH 1-9 thru5 LOSS (CWS won 9-1)
2026-07-12,NYY@WSH,F5,0.63,WSH,-128,L,cohort=ranked RANKED #2 edge +6.6% full; F5 WSH 1-2 thru5 LOSS (NYY won 5-3)
2026-07-12,CLE@MIA,F5,0.60,MIA,-115,L,cohort=ranked RANKED #3 edge +6.5% full; F5 MIA 1-3 thru5 LOSS (CLE won 5-2)
2026-07-12,MIL@PIT,F5,0.64,PIT,-140,W,cohort=ranked RANKED #4 edge +5.5% full; F5 PIT 14-2 thru5 WIN (PIT won 14-5)
2026-07-16,NYM@PHI,F5,0.61,NYM,105,W,cohort=shadow HARD-VETO gap36 edge +12.3% CAUTION Nola fade NO BET watchlist; F5 NYM 1-0 thru5 WIN (NYM won 4-1) - veto cost a winner
2026-07-17,DET@LAA,F5,0.61,DET,-110,L,cohort=ranked RANKED #1 edge +8.2% HALF(gap24); F5 DET 0-1 thru5 LOSS (LAA won 1-2... LAA 2-1)
2026-07-17,BAL@HOU,F5,0.61,HOU,-115,W,cohort=ranked RANKED #2 edge +7.6% HALF(gap20) thin-Kremer flag; F5 HOU 2-1 thru5 WIN (HOU won 3-2)
2026-07-17,LAD@NYY,F5,0.61,NYY,-115,W,cohort=ranked RANKED #3 edge +7.3% HALF(gap20) Sasaki fade; F5 NYY 1-0 thru5 WIN (NYY won 2-1)
2026-07-17,SF@SEA,F5,0.68,SEA,-155,L,cohort=ranked RANKED #4 edge +7.1% full; F5 SEA 0-2 thru5 LOSS (SF won 7-0; Roupp outdueled Miller)
2026-07-17,PIT@CLE,F5,0.56,PIT,105,PPD,cohort=ranked RANKED #5 edge +6.8% full dog; POSTPONED - no action/void
2026-07-17,CWS@TOR,F5,0.63,TOR,-130,L,cohort=ranked RANKED #6 edge +6.2% full; F5 TOR 3-8 thru5 LOSS (CWS won 12-4)
2026-07-18,SF@SEA,F5,0.55,SF,112,W,cohort=ranked RANKED #1 edge +7.4% full dog; F5 SF 1-0 thru5 WIN (SEA won full 4-3 - F5 cashed)
2026-07-18,DET@LAA,F5,0.75,DET,-216,W,cohort=ranked RANKED #2 edge +6.8% CONFIRMED STEEP G-Rodriguez 7.55 fade; F5 DET 7-0 thru5 WIN (DET won 7-0; Skubal dealt)
2026-07-18,WSH@ATH,F5,0.57,WSH,-102,L,cohort=ranked RANKED #3 edge +6.5% full; F5 WSH 0-6 thru5 LOSS (ATH won 15-1)
2026-07-18,LAD@NYY,F5,0.58,NYY,-108,PPD,cohort=ranked RANKED #4 edge +6.1% full; POSTPONED - no action/void
2026-07-19,DET@LAA,F5,0.69,DET,-150,L,cohort=ranked RANKED #1 edge +9.2% HALF(gap28) CONFIRMED R.Johnson fade; F5 DET 1-2 thru5 LOSS (LAA won 3-2)
2026-07-19,SF@SEA,F5,0.47,SF,161,P,cohort=ranked RANKED #2 edge +8.4% full dog; F5 3-3 thru5 PUSH (SEA won 6-3)
2026-07-19,TEX@ATL,F5,0.55,ATL,112,W,cohort=ranked RANKED #3 edge +8.3% HALF(gap21); F5 ATL 4-3 thru5 WIN (ATL won 8-5)
2026-07-19,PIT@CLE,F5,0.61,PIT,-125,W,cohort=ranked RANKED #4 edge +5.8% full Skenes; F5 PIT 2-1 thru5 WIN (PIT won 7-1)
2026-07-19,TB@BOS,F5,0.60,BOS,-120,W,cohort=ranked RANKED #5 edge +5.4% full; F5 BOS 6-1 thru5 WIN (BOS won 6-1)
2026-07-19,WSH@ATH,F5,0.74,WSH,-160,W,cohort=shadow HARD-VETO gap37 edge +12.4% CONFIRMED J.Lopez fade NO BET watchlist; F5 WSH 5-1 thru5 WIN (WSH won 5-2) - veto cost a winner
2026-07-19,STL@AZ,F5,0.65,AZ,-123,L,cohort=shadow HARD-VETO gap30 edge +9.4% NO BET watchlist; F5 AZ 0-7 thru5 LOSS (AZ rallied 8-7 full) - veto correct
2026-07-20,PIT@NYY,F5,0.63,PIT,-110,L,cohort=ranked RANKED #1 edge +7.7% HALF(gap21); F5 PIT 5-8 thru5 LOSS (NYY won 8-5; hot streak ended)
2026-07-20,SF@KC,F5,0.62,KC,-118,W,cohort=ranked RANKED #2 edge +7.7% HALF(gap21) McDonald fade; F5 KC 3-1 thru5 WIN (KC won 4-3)
2026-07-20,NYM@MIL,F5,0.71,MIL,-240,W,cohort=ranked RANKED #3 edge +7.2% STEEP Misiorowski; F5 MIL 5-1 thru5 WIN (MIL won 8-3)
2026-07-20,LAD@PHI,F5,0.61,PHI,-149,L,cohort=ranked RANKED #4 edge +6.9% PHI cold-bats flag; F5 PHI 1-4 thru5 LOSS (LAD won 10-7)
2026-07-20,BAL@BOS,F5,0.60,BOS,-150,W,cohort=ranked RANKED #5 edge +5.3% BOS hot; F5 BOS 3-2 thru5 WIN (BOS won 6-5)
2026-07-20,WSH@COL,F5,0.72,WSH,-135,P,cohort=shadow HARD-VETO gap35 edge +10.8% CONFIRMED Freeland-Coors fade NO BET; F5 3-3 thru5 PUSH (WSH won 7-3 full)
